period_start,period_end,pay_date,property_code,property_name,wgnum,submission_status,active_hours,ot_hours,ot_pct,employee_count,avg_hours_per_employee
2026-04-05,2026-04-18,2026-04-24,ABP,Baldwin Park,3,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,CCH,Country Club Heights,13,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,GLN,Glendale,10,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,AGB,Granbury,5,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,HIL,Hills,4,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,MAY,Maybelle Carter,21,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,MER,Merrillville,6,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,PSL,Port St. Lucie,7,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,RVB,Riverbend,9,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,VAL,Valparaiso,11,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,AWH,West Hartford,12,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,WDL,Woodlands,25,unknown,,,,,
2026-04-05,2026-04-18,2026-04-24,PORTFOLIO,Portfolio Total (all 12 communities),,n/a,47986.02,1808.93,3.6,,
